state,total_orders,avg_delivery_days,avg_estimated_days
SP,40494,8.7,19.8
MG,11354,11.9,25.2
PR,4923,11.9,25.3
DF,2080,12.9,24.9
SC,3546,14.9,26.4
RJ,12350,15.2,27.0
RS,5344,15.2,29.2
GO,1957,15.5,27.7
MS,701,15.5,26.6
ES,1995,15.7,26.2
TO,274,17.6,29.7
MT,886,18.0,32.4
PE,1593,18.4,31.7
RN,474,19.2,32.9
BA,3256,19.3,30.1
RO,243,19.3,39.4
PI,476,19.4,30.7
PB,517,20.4,33.6
AC,80,21.0,41.7
CE,1279,21.2,32.0
MA,717,21.5,31.1
SE,335,21.5,31.5
PA,946,23.7,37.8
AL,397,24.5,33.2
AM,145,26.4,45.9
AP,67,27.2,46.9
RR,41,29.3,46.6
