state,total_orders,avg_actual_days,avg_estimated_days,avg_delay_days,late_rate_pct,delivery_health
AL,397,24.5,33.2,-8.7,23.93,"On track — meeting estimates"
MA,717,21.5,31.1,-9.6,19.67,"On track — meeting estimates"
SE,335,21.5,31.5,-10.0,15.22,"On track — meeting estimates"
ES,1995,15.7,26.2,-10.5,12.23,"On track — meeting estimates"
BA,3256,19.3,30.1,-10.8,14.04,"On track — meeting estimates"
CE,1279,21.2,32.0,-10.8,15.32,"On track — meeting estimates"
MS,701,15.5,26.6,-11.1,11.55,"On track — meeting estimates"
SP,40494,8.7,19.8,-11.1,5.89,"On track — meeting estimates"
PI,476,19.4,30.7,-11.3,15.97,"On track — meeting estimates"
SC,3546,14.9,26.4,-11.5,9.76,"On track — meeting estimates"
RJ,12350,15.2,27.0,-11.8,13.47,"On track — meeting estimates"
DF,2080,12.9,24.9,-12.0,7.07,"On track — meeting estimates"
TO,274,17.6,29.7,-12.1,12.77,"On track — meeting estimates"
GO,1957,15.5,27.7,-12.2,8.18,"On track — meeting estimates"
MG,11354,11.9,25.2,-13.2,5.61,"On track — meeting estimates"
PB,517,20.4,33.6,-13.3,11.03,"On track — meeting estimates"
PE,1593,18.4,31.7,-13.3,10.80,"On track — meeting estimates"
PR,4923,11.9,25.3,-13.3,5.00,"On track — meeting estimates"
RN,474,19.2,32.9,-13.6,10.76,"On track — meeting estimates"
RS,5344,15.2,29.2,-13.9,7.15,"On track — meeting estimates"
PA,946,23.7,37.8,-14.1,12.37,"On track — meeting estimates"
MT,886,18.0,32.4,-14.4,6.77,"On track — meeting estimates"
RR,41,29.3,46.6,-17.3,12.20,"On track — meeting estimates"
AM,145,26.4,45.9,-19.6,4.14,"On track — meeting estimates"
AP,67,27.2,46.9,-19.7,4.48,"On track — meeting estimates"
RO,243,19.3,39.4,-20.1,2.88,"On track — meeting estimates"
AC,80,21.0,41.7,-20.7,3.75,"On track — meeting estimates"
