state,total_orders,total_revenue,avg_item_value
SP,40501,5769703.15,124.22
RJ,12350,2055401.57,145.33
MG,11354,1818891.67,140.82
RS,5345,861472.79,140.44
PR,4923,781708.8,138.38
SC,3546,595127.78,145.26
BA,3256,591137.81,160.5
DF,2080,346123.35,146.97
GO,1957,334212.35,146.78
ES,1995,317657.93,142.77
PE,1593,308972.05,176.96
CE,1279,266436.77,186.84
PA,946,212023.57,201.16
MT,886,181224.42,174.76
MA,717,147803.55,184.75
PB,517,137838.55,235.22
MS,701,134367.55,165.68
PI,476,105178.19,201.11
RN,474,100714.78,193.31
AL,397,94172.49,220.54
SE,335,70289.13,187.44
TO,274,60007.37,193.57
RO,243,56966,208.67
AM,145,27585.47,169.24
AC,80,19575.33,215.11
AP,67,16141.81,199.28
RR,41,9039.52,196.51
