category,total_orders,total_revenue,avg_item_price
health_beauty,8647,1412089.53,130.28
watches_gifts,5495,1264333.12,199.04
bed_bath_table,9272,1225209.26,93.44
sports_leisure,7530,1118256.91,113.25
computers_accessories,6530,1032723.77,116.26
furniture_decor,6307,880329.92,87.25
housewares,5743,758392.25,90.6
cool_stuff,3559,691680.89,164.12
auto,3810,669454.75,139.85
garden_tools,3448,567145.68,110.24
toys,3804,547061.06,116.94
baby,2809,466727.65,134.28
perfumery,3086,443171.63,116.81
telephony,4093,379202.62,69.95
office_furniture,1254,335211.36,160.76
